0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.048027886;-1.80E-07;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0.039340076;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;-3.75E-08;0;0.054174392;0
0;0;-5.00E-08;0;0;0;0.074603144;0;0;0;0.137023491;0;0.238095238;0;0;0;0.238095238;0.238095238;0;0;0;0;-3.57E-08;0;0.061981924;0
0;0;0;0;0;0;0;0;0;0;0.111967697;0;0.285714286;0;0;0;0.285714286;0.285714286;0;0;0;0;0;0;0.017083319;0
0;0;0;0;0;0;0.039340081;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;-5.25E-08;-3.75E-08;0;0.054174439;0
0;0;0;0;0;0;0;0;0;0;0;0;0.316922546;0;0;0;0.334241036;0.334241036;0;0;0;0;0;0;0;0
0;0;0;-5.01E-08;0;0;0;0;0;0;0;0;0.316922595;0;0;0;0.334241036;0.334241036;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0.039340081;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;-5.25E-08;-3.75E-08;0;0.054174439;0
0;0;0;-3.75E-08;0;0;0.039340117;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;-5.25E-08;-3.75E-08;0;0.054174441;0
0;0;0;0;0;0;0.039340081;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;-5.25E-08;-3.75E-08;0;0.054174439;0
0;0;0;-3.75E-08;0;0;0.039340111;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;-3.75E-08;0;0.054174394;0
0;0;0;0;0;0;0.039340081;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;-5.25E-08;-3.75E-08;0;0.054174439;0
0;0;0;0;0;0;0.039340077;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;0;0;0.054174353;0
0;0;0;0;0;0;0.039340081;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;-5.25E-08;-3.75E-08;0;0.054174439;0
0;0;0;-3.75E-08;0;0;0.039340113;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;0;0;0.054174355;0
0;0;0;-3.75E-08;0;0;0.039340113;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;0;0;0.054174355;0
0;0;0;0;0;0;0.039340077;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;0;0;0.054174353;0
0;0;0;-3.75E-08;0;0;0.039340112;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;-3.75E-08;0;0.054174394;0
0;0;0;-3.75E-08;0;0;0.039340113;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;0;0;0.054174355;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.555360828;0.444509153;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0.074603105;0;0;0;0.137023491;0;0.238095238;0;0;0;0.238095238;0.238095238;0;0;0;0;-3.57E-08;0;0.061981913;0
0;0;0;0;0;0;0.039340078;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;0;0;0.054174353;0
0;0;0;0;0;0;0.039340077;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;0;0;0.054174353;0
0;0;0;0;0;0;0.039340076;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;-3.75E-08;0;0.054174392;0
0;0;0;0;0;0;0.039340077;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;0;0;0.054174353;0
0;0;0;0;0;0;0.039340076;0;0;0;0.143876693;0;0.25;0;0;0;0.25;0.25;0;0;0;0;-3.75E-08;0;0.054174392;0
