Distribution Factors Results (SYM);Distribution Factors Results (SYM);Distribution Factors Results (SYM);Line 1-2;Line 1-2;Line 1-3;Line 1-3;Line 2-3;Line 2-3
-1.000000;0.000000;0.000000;0.448562;-0.432454;0.551438;-0.531170;0.531170;-0.545154
-2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
-3.000000;0.000000;0.000000;0.100774;-0.097155;-0.100774;0.097070;0.902930;-0.926702
